Model,Split_Dir,LR,RNN_LR,LR_Display,Diff_LR,CNN_Frozen,Weight_Decay,Batch_Size,Seed,Params,Epochs,Best_Epoch,Early_Stop,Test_F1,Test_AUROC,Test_Accuracy,Test_Loss,Val_F1,Run_ID,Date,Device,User,Platform,Torch_Vers
cnn_only,data/splits_10s,0.000233,4.49e-05,"CNN=2.33e-04, RNN=4.49e-05",True,False,1.13e-06,256,65319,44228,11,1,True,0.4106743547610219,0.5339009300203296,0.40814582739960126,1.294057662997927,0.4248982196752611,cnn_only_seed65319_20251210_170306,2025-12-10T17:03:06.679094,cuda,navak,Linux,2.8.0+cu128
cnn_only,data/splits,7.88e-05,2.18e-06,"CNN=7.88e-05, RNN=2.18e-06",True,False,0.000134,192,96379,44228,24,14,True,0.4073975354534837,0.5820193429796605,0.3897306954277774,1.4590410756159433,0.3950900646915127,cnn_only_seed96379_20251210_170031,2025-12-10T17:00:31.135259,cuda,navak,Linux,2.8.0+cu128
bilstm,data/splits_20s,4.45e-05,1.48e-06,"CNN=4.45e-05, RNN=1.48e-06",True,False,0.0004,64,81458,316612,16,6,True,0.40542695172936744,0.5293221129237289,0.424791591156216,1.3498830876567147,0.42242424886800023,bilstm_seed81458_20251211_024405,2025-12-11T02:44:05.404570,cuda,tomra,Windows,2.9.1+cu128
cnn_only,data/splits_20s,7.93e-05,1.67e-05,"CNN=7.93e-05, RNN=1.67e-05",True,False,2.84e-05,192,18376,44228,12,2,True,0.40170723517525486,0.5316995309554912,0.36679956505980427,1.3349240938822429,0.4088470192741842,cnn_only_seed18376_20251210_161623,2025-12-10T16:16:23.139482,cuda,navak,Linux,2.8.0+cu128
cnn_only,data/splits_20s,0.000138,,1.38e-04,False,False,1.35e-06,192,53788,44228,29,19,True,0.4009401160635112,0.5585422482887324,0.3747734686480609,1.2507371366024018,0.4378451225418193,cnn_only_seed53788_20251211_025303,2025-12-11T02:53:03.236653,cuda,tomra,Windows,2.9.1+cu128
cnn_lstm_seq16,data/splits_20s,0.000585,6.29e-05,"CNN=5.85e-04, RNN=6.29e-05",True,False,1.26e-05,192,41243,87588,12,2,True,0.39911203665395945,0.5247171447893878,0.36969916636462485,1.3322221597035726,0.41692337487991854,cnn_lstm_seq16_seed41243_20251210_231538,2025-12-10T23:15:38.038528,cuda,tomra,Windows,2.9.1+cu128
cnn_only,data/splits_10s,0.000142,1.14e-06,"CNN=1.42e-04, RNN=1.14e-06",True,False,8.98e-05,192,31040,44228,22,12,True,0.3967221695790211,0.5681716698385594,0.37482198803759614,1.350725373706302,0.4167184167284114,cnn_only_seed31040_20251210_150031,2025-12-10T15:00:31.299226,cuda,navak,Linux,2.8.0+cu128
gru,data/splits,5e-05,1e-05,"CNN=5.00e-05, RNN=1.00e-05",True,False,0.0001,256,1994,105652,17,2,True,0.3956502331142234,0.5438028001854055,0.37722490571031564,1.2212102661530178,0.38224267086284364,gru_seed1994_20251208_191202,2025-12-08T19:12:02.564572,cuda,navak,Linux,2.8.0+cu128
cnn_lstm_ln,data/splits_20s,0.000258,2.78e-05,"CNN=2.58e-04, RNN=2.78e-05",True,True,6.1e-06,128,75799,308676,36,15,True,0.3912630420411739,0.5198312257765895,0.35230155853570133,1.3469116254286333,0.4422937211604407,cnn_lstm_ln_seed75799_20251210_222315,2025-12-10T22:23:15.042681,cuda,navak,Linux,2.8.0+cu128
cnn_lstm_meanpool,data/splits,0.000185,3.73e-06,"CNN=1.85e-04, RNN=3.73e-06",True,False,0.000955,256,66659,127348,34,24,True,0.3895153790408971,0.588260631904287,0.3547938860583604,1.1520161509513855,0.3780581498823815,cnn_lstm_meanpool_seed66659_20251211_003631,2025-12-11T00:36:31.633824,cuda,tomra,Windows,2.9.1+cu128
cnn_lstm,data/splits_20s,0.000643,2.93e-05,"CNN=6.43e-04, RNN=2.93e-05",True,False,0.000305,128,74590,308420,15,5,True,0.3865319928080182,0.5198836764804577,0.35592606016672707,1.3299052877859636,0.3983336048874086,cnn_lstm_seed74590_20251210_213548,2025-12-10T21:35:48.264627,cuda,navak,Linux,2.8.0+cu128
cnn_only,data/splits_10s,0.000167,3.24e-05,"CNN=1.67e-04, RNN=3.24e-05",True,False,9.65e-06,192,47610,44228,15,5,True,0.3735768761963564,0.5483170653032169,0.32326972372543433,1.3422671218176145,0.391495974857531,cnn_only_seed47610_20251210_143752,2025-12-10T14:37:52.347645,cuda,navak,Linux,2.8.0+cu128
